IdIncident;CarrierDelay;WeatherDelay;NASDelay
212;2007.0;9;
213;2615.0;11;
214;708.0;3;
215;1416.0;6;95.00
216;472.0;2;0.00
217;2486.0;10;
218;606.0;3;
219;1452.0;6;
220;1034.0;5;
221;533.0;3;0.00
222;1597.0;7;
223;1208.0;5;
224;224.0;1;46.00
225;1379.0;6;223.00
226;787.0;4;29.00
227;1709.0;7;
228;639.0;3;
229;550.0;3;6.00
230;1199.0;5;
231;1290.0;6;
232;776.0;4;7.00
233;896.0;4;
234;853.0;4;
235;1721.0;7;
236;826.0;4;
237;1190.0;5;21.00
238;2486.0;10;4.00
239;1514.0;7;
240;1506.0;7;0.00
241;1608.0;7;0.00
242;1242.0;5;
243;1585.0;7;
244;1546.0;7;
245;2457.0;10;
246;2139.0;9;0.00
247;397.0;2;
248;1911.0;8;3.00
249;1023.0;5;0.00
250;1185.0;5;
251;692.0;3;
252;391.0;2;
253;2405.0;10;
254;1400.0;6;
255;349.0;2;
256;862.0;4;2.00
257;746.0;3;0.00
258;817.0;4;
259;1085.0;5;0.00
260;406.0;2;1.00
261;1829.0;8;80.00
262;406.0;2;
263;1123.0;5;
264;2565.0;11;17.00
265;2446.0;10;38.00
266;2218.0;9;
267;1190.0;5;
268;912.0;4;0.00
269;689.0;3;0.00
270;1075.0;5;
271;2065.0;9;
272;1303.0;6;24.00
273;719.0;3;0.00
274;1911.0;8;
275;642.0;3;
276;305.0;2;0.00
277;1325.0;6;
278;2584.0;11;
279;817.0;4;73.00
280;1195.0;5;
281;2565.0;11;78.00
282;1167.0;5;
283;748.0;3;
284;966.0;4;0.00
285;2288.0;10;
286;2072.0;9;
287;966.0;4;
288;1379.0;6;39.00
289;589.0;3;
290;991.0;4;21.00
291;862.0;4;32.00
292;2611.0;11;
293;413.0;2;
294;2358.0;10;
295;1506.0;7;
296;846.0;4;
297;472.0;2;
298;2400.0;10;0.00
299;212.0;1;
300;1846.0;8;312.00
301;760.0;4;4.00
302;1754.0;8;
