CarrierDelay;WeatherDelay;NASDelay
2052.0;9;
1379.0;6;
854.0;4;
937.0;4;
337.0;2;
2565.0;11;
862.0;4;0.00
2133.0;9;
862.0;4;
896.0;4;
1085.0;5;
1635.0;7;
1416.0;6;
447.0;2;
212.0;1;
967.0;4;
391.0;2;
372.0;2;
1372.0;6;
862.0;4;
1041.0;5;
991.0;4;
2454.0;10;
2454.0;10;
1085.0;5;
1635.0;7;
1608.0;7;
1379.0;6;
1208.0;5;13.00
1222.0;5;0.00
733.0;3;
2161.0;9;
689.0;3;
1346.0;6;
1120.0;5;
1609.0;7;
1825.0;8;
955.0;4;
1023.0;5;
2402.0;10;7.00
372.0;2;
191.0;1;
1911.0;8;14.00
200.0;1;
1372.0;6;2.00
1416.0;6;
1635.0;7;
1085.0;5;
2434.0;10;
200.0;1;0.00
937.0;4;
836.0;4;
140.0;1;
1416.0;6;
1303.0;6;
447.0;2;
775.0;4;
680.0;3;
1303.0;6;
2253.0;10;
2454.0;10;
2052.0;9;
1050.0;5;
1874.0;8;
966.0;4;
1023.0;5;17.00
1065.0;5;
1911.0;8;
1075.0;5;
2139.0;9;
1723.0;7;
447.0;2;
1222.0;5;
1023.0;5;9.00
1744.0;7;
337.0;2;
1009.0;5;
787.0;4;
305.0;2;
967.0;4;
414.0;2;
235.0;1;
1846.0;8;
997.0;4;
1504.0;7;
2036.0;9;0.00
2036.0;9;
1943.0;8;15.00
1846.0;8;0.00
588.0;3;
2565.0;11;
447.0;2;82.00
867.0;4;
1452.0;6;
955.0;4;
862.0;4;18.00
1504.0;7;0.00
1754.0;8;
414.0;2;0.00
524.0;3;0.00
404.0;2;
651.0;3;0.00
2065.0;9;
200.0;1;
1605.0;7;0.00
1190.0;5;
1440.0;6;
140.0;1;
862.0;4;2.00
1725.0;7;
2454.0;10;17.00
888.0;4;2.00
2704.0;11;
746.0;3;
646.0;3;
622.0;3;
2079.0;9;0.00
2079.0;9;
719.0;3;
305.0;2;
862.0;4;
2615.0;11;
455.0;2;
826.0;4;
760.0;4;
1651.0;7;
733.0;3;
966.0;4;
1452.0;6;
2065.0;9;
846.0;4;
337.0;2;
888.0;4;146.00
1721.0;7;
642.0;3;
862.0;4;
794.0;4;
1504.0;7;0.00
414.0;2;
2486.0;10;
649.0;3;
524.0;3;
414.0;2;
